Quantify Compound Summary Report 

Printed Fri Dec 04 12:11:50 2020

Compound 1:  tryptophan

	#	Name	Sample Text	Type	%Dev	Primary Flags	Conc.	Std. Conc	RT	Area	IS Area	Response
1	1	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 8_4	Cal 8	Standard	4.8	bb	209.610	200.000	3.70	8524.595	38612.988	2.208
2	2	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 7_5	Cal 7	Standard	-0.9	MM	396.239	400.000	3.71	19593.123	41424.406	4.730
3	3	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 6_6	Cal 6	Standard	-3.9	MM	768.668	800.000	3.70	37849.836	38768.930	9.763
4	4	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 5_7	Cal 5	Standard	-4.4	MM	1911.216	2000.000	3.70	96542.234	38304.973	25.204
5	5	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 4_8	Cal 4	Standard	-0.8	MM	2977.467	3000.000	3.70	141642.328	35756.418	39.613
6	6	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 3_9	Cal 3	Standard	-2.4	MM	4881.011	5000.000	3.70	249177.922	38136.742	65.338
7	7	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 2_10	Cal 2	Standard	5.5	bb	10545.847	10000.000	3.70	517712.875	36485.934	141.894
8	8	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 1_11	Cal 1	Standard	6.8	MM	21353.129	20000.000	3.69	1072018.375	37229.871	287.946
107	107	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 8_110	Cal 8	Standard	3.2	MM	206.496	200.000	3.73	9182.221	42399.906	2.166
108	108	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 7_111	Cal 7	Standard	-7.1	MM	371.747	400.000	3.73	18647.252	42391.176	4.399
109	109	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 6_112	Cal 6	Standard	-10.2	MM	718.344	800.000	3.73	38155.633	42008.449	9.083
110	110	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 5_113	Cal 5	Standard	-0.1	MM	1997.544	2000.000	3.72	102358.102	38815.777	26.370
111	111	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 4_114	Cal 4	Standard	-2.1	MM	2938.238	3000.000	3.73	160074.641	40957.641	39.083
112	112	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 3_115	Cal 3	Standard	-6.6	MM	4667.972	5000.000	3.73	263373.281	42167.410	62.459
113	113	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 2_116	Cal 2	Standard	12.5	MM	11247.523	10000.000	3.72	549315.125	36288.023	151.376
114	114	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 1_117	Cal 1	Standard	5.8	bb	21153.375	20000.000	3.71	1135411.000	39804.590	285.246
32	32	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 5_35	QC 5	QC	-11.2	MM	710.768	800.000	3.72	35968.707	40052.188	8.980
44	44	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 2_47	QC 2	QC	2.0	bb	16319.797	16000.000	3.71	907161.438	41248.816	219.924
56	56	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 6_59	QC 6	QC	-5.2	MM	379.337	400.000	3.73	19107.596	42447.789	4.501
68	68	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 4_71	QC 4	QC	-5.9	MM	1882.690	2000.000	3.73	84516.406	34054.379	24.818
80	80	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 1_83	QC 1	QC	3013.5	bb	622697.495	20000.000	3.72	727832.938	864.960	8414.643
92	92	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 3_95	QC 3	QC	-1.9	MM	7851.775	8000.000	3.72	342571.688	32475.693	105.486
9	9	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_12	Double Blank	Blank		bb			3.57	1.488		
21	21	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_24	Double Blank	Blank							4.175	
33	33	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_36	Double Blank	Blank		bb	1558.694		3.60	4.511	2.207	20.440
45	45	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_48	Double Blank	Blank		bb			3.72	4.641		
